Id,Title,Type of Work,Company,Location,Pay,Schedule,Status,Requests,Routes,Where Job is performed,Address
15462746,Darden Service - POS 7 offline,Low Voltage Testing,LMI Systems,"510 Woodbridge Center Drive,Woodbridge, NJ, 07095",$290,07-04-2024 17:30 EDT,Paid,3,32,Olive Garden U.S.A,"510 Woodbridge Center Drive
Woodbridge, NJ 07095 US"
15466849,Tech Dispatch Request - Ticket 1417427,General Tasks,Cloud5 Communications,"125 East 50th Street,New York, NY, 10022",$355,07-03-2024 13:00 EDT,Paid,8,1,The Benjamin Royal Sonesta New York,"125 East 50th Street
New York, NY 10022 US"
15306084,Tech Dispatch Request - Ticket 1397769,VoIP-SIP,Cloud5 Communications,"18-30 Whitestone Expressway,Whitestone, NY, 11357",$720,07-01-2024 10:00 EDT,Paid,12,,Whitestone / LaGuardia Extended Stay America,"18-30 Whitestone Expressway
Whitestone, NY 11357 US"
15414216,"Costco Warminster, PA",Low Voltage Runs,Wachter - Nationwide Projects,"100 Veterans Way,Warminster, PA, 18974",$300,06-24-2024 17:00 EDT,Paid,0,,"Costco Warminster, PA","100 Veterans Way
Warminster, PA 18974 US"
15394353,"One extension NDT, needs troubleshooting",VoIP-SIP,Fourteen IP Inc,"270 West 43rd Street,New York, NY, 10036",$240,06-21-2024 10:30 EDT,Paid,1,5,NYCSW - The Westin New York at Times Square,"270 West 43rd Street
New York, NY 10036 US"
15374444,Tech Dispatch Request - Ticket 1413738,POTS,Cloud5 Communications," 50 Raritan Center Pkwy,Edison, NJ, 08837",$235.45,06-19-2024 09:00 EDT,Paid,11,,Hilton Garden Inn Edison/Raritan Center,"50 Raritan Center Pkwy
Edison, NJ 08837 US"
15314663,Tech Dispatch Request - Ticket 1410866,Wireless Networking,Cloud5 Communications,"200 Old Hook Rd,Harrington Park, NJ, 07640-1744",$681,06-11-2024 09:00 EDT,Paid,6,,Allegro Senior Living Harrington Park NJ,"200 Old Hook Rd
Harrington Park, NJ 07640-1744 US"
15302294,CFA 03640 - Install Cable Run and Network Port,Low Voltage Runs,Connext,"30 Mall Dr W Newport Centre,Jersey City, NJ, 07310",$322.5,06-05-2024 20:45 EDT,Paid,14,,Chick-fil-A,"30 Mall Dr W Newport Centre
Jersey City, NJ 07310 US"
15255318,Tech Dispatch Request - Ticket 1397712,VoIP-SIP,Cloud5 Communications,"329 Newman Springs Road,Red Bank, NJ, 07701",$630,05-30-2024 10:00 EDT,Paid,0,,Red Bank - Middletown,"329 Newman Springs Road
Red Bank, NJ 07701 US"
15248881,Tech Dispatch Request - Ticket 1411659,POTS,Cloud5 Communications,"125 East 50th Street,New York, NY, 10022",$360,05-28-2024 08:00 EDT,Paid,10,1,The Benjamin Royal Sonesta New York,"125 East 50th Street
New York, NY 10022 US"
